CITY,COLUMN,Expected Index,Moran's Index,Variance,p-value,threshold,z-score
woodward-ok-micro-area,TOTHH,-0.05555555555555555,0.134216805236,0.0090141562698,0.045629460697,0.162700123234,1.99880496214
danville-il-metro-area,AVGHINC,-0.015384615384615385,0.0530667543755,0.00126205074654,0.0540006343971,0.152200804694,1.92683148439
danville-il-metro-area,CENSUSAREA,-0.015384615384615385,0.0618393817161,0.00126205074654,0.0297223084195,0.152200804694,2.17377138669
danville-il-metro-area,DKL(y|n),-0.015384615384615385,-0.00380925333766,0.00126205074654,0.744550081014,0.152200804694,0.325833830842
danville-il-metro-area,Density,-0.015384615384615385,0.0594535026249,0.00126205074654,0.0351512699898,0.152200804694,2.10661148957
danville-il-metro-area,HINC000_W,-0.015384615384615385,0.0140650610614,0.00126205074654,0.40711781367,0.152200804694,0.828976308001
danville-il-metro-area,HINC200_W,-0.015384615384615385,-0.0258747838948,0.00126205074654,0.76777478778,0.152200804694,-0.295286815046
danville-il-metro-area,TOTHH,-0.015384615384615385,0.0964756355556,0.00126205074654,0.00163973659481,0.152200804694,3.1487441978
willmar-mn-micro-area,AVGHINC,-0.030303030303030304,0.227958249895,0.00980189735732,0.00909186547498,0.125363107215,2.60858038486
willmar-mn-micro-area,CENSUSAREA,-0.030303030303030304,0.0418460112859,0.00980189735732,0.466157760115,0.125363107215,0.72874483752
willmar-mn-micro-area,DKL(y|n),-0.030303030303030304,0.154526684125,0.00980189735732,0.0619181587387,0.125363107215,1.86688135065
willmar-mn-micro-area,Density,-0.030303030303030304,0.231162295157,0.00980189735732,0.00826756283293,0.125363107215,2.64094299693
willmar-mn-micro-area,HINC000_W,-0.030303030303030304,0.0330945926788,0.00980189735732,0.521944615734,0.125363107215,0.640350716261
willmar-mn-micro-area,HINC200_W,-0.030303030303030304,0.0344648184724,0.00980189735732,0.512988922003,0.125363107215,0.654190747276
willmar-mn-micro-area,TOTHH,-0.030303030303030304,0.075719226457,0.00980189735732,0.284222101874,0.125363107215,1.07088286379
bend-or-metro-area,AVGHINC,-0.011904761904761904,0.00251525103271,0.00010784064903,0.16495709978,0.403768022006,1.38859118368
bend-or-metro-area,CENSUSAREA,-0.011904761904761904,0.0183188855026,0.00010784064903,0.00360943654918,0.403768022006,2.91041974168
bend-or-metro-area,DKL(y|n),-0.011904761904761904,-0.0364671600576,0.00010784064903,0.018017249196,0.403768022006,-2.3652634483
bend-or-metro-area,Density,-0.011904761904761904,0.0231335980657,0.00010784064903,0.000740688019718,0.403768022006,3.37405784284
bend-or-metro-area,HINC000_W,-0.011904761904761904,0.0229608067717,0.00010784064903,0.000786738727342,0.403768022006,3.35741871301
bend-or-metro-area,HINC200_W,-0.011904761904761904,-0.0225915299333,0.00010784064903,0.303435405243,0.403768022006,-1.02909421308
bend-or-metro-area,TOTHH,-0.011904761904761904,-0.00469204248911,0.00010784064903,0.487333069308,0.403768022006,0.69455683808
marion-herrin-il-micro-area,AVGHINC,-0.01818181818181818,0.00945428839023,0.00247517697456,0.578561747488,0.0903502534563,0.555486783778
marion-herrin-il-micro-area,CENSUSAREA,-0.01818181818181818,0.350844415848,0.00247517697456,1.1945999745e-13,0.0903502534563,7.4174412136
marion-herrin-il-micro-area,DKL(y|n),-0.01818181818181818,0.00230722256374,0.00247517697456,0.680463670783,0.0903502534563,0.411830491273
marion-herrin-il-micro-area,Density,-0.01818181818181818,0.0329821518467,0.00247517697456,0.303762777734,0.0903502534563,1.02839772608
marion-herrin-il-micro-area,HINC000_W,-0.01818181818181818,-0.0208555868086,0.00247517697456,0.957140042607,0.0903502534563,-0.0537428501795
marion-herrin-il-micro-area,HINC200_W,-0.01818181818181818,-0.0131556462174,0.00247517697456,0.919529625518,0.0903502534563,0.101026245935
marion-herrin-il-micro-area,TOTHH,-0.01818181818181818,0.0138942101523,0.00247517697456,0.519102574365,0.0903502534563,0.644729378548
brunswick-ga-metro-area,AVGHINC,-0.013888888888888888,,0.00440669886587,,0.117104160485,
brunswick-ga-metro-area,CENSUSAREA,-0.013888888888888888,0.319279994437,0.00440669886587,5.1970680448e-07,0.117104160485,5.01889079809
brunswick-ga-metro-area,DKL(y|n),-0.013888888888888888,,0.00440669886587,,0.117104160485,
brunswick-ga-metro-area,Density,-0.013888888888888888,0.218597875402,0.00440669886587,0.000461424687449,0.117104160485,3.50220485879
brunswick-ga-metro-area,HINC000_W,-0.013888888888888888,,0.00440669886587,,0.117104160485,
brunswick-ga-metro-area,HINC200_W,-0.013888888888888888,,0.00440669886587,,0.117104160485,
brunswick-ga-metro-area,TOTHH,-0.013888888888888888,0.0262140197223,0.00440669886587,0.545767588462,0.117104160485,0.604114396868
astoria-or-micro-area,AVGHINC,-0.02702702702702703,,0.00143628936026,,0.208689107387,
astoria-or-micro-area,CENSUSAREA,-0.02702702702702703,0.0534431648611,0.00143628936026,0.0337276129936,0.208689107387,2.12331322758
astoria-or-micro-area,DKL(y|n),-0.02702702702702703,,0.00143628936026,,0.208689107387,
astoria-or-micro-area,Density,-0.02702702702702703,-0.0112933739227,0.00143628936026,0.678029609994,0.208689107387,0.41515339992
astoria-or-micro-area,HINC000_W,-0.02702702702702703,,0.00143628936026,,0.208689107387,
astoria-or-micro-area,HINC200_W,-0.02702702702702703,,0.00143628936026,,0.208689107387,
astoria-or-micro-area,TOTHH,-0.02702702702702703,-0.0498929383697,0.00143628936026,0.546277515778,0.208689107387,-0.603347536216
eugene-springfield-or-metro-area,AVGHINC,-0.00390625,0.00468804028015,0.000106118351377,0.404120038941,0.334905214073,0.834285645229
eugene-springfield-or-metro-area,CENSUSAREA,-0.00390625,0.141191705108,0.000106118351377,0.0,0.334905214073,14.0852981634
eugene-springfield-or-metro-area,DKL(y|n),-0.00390625,0.0109726978247,0.000106118351377,0.148636313998,0.334905214073,1.44436505885
eugene-springfield-or-metro-area,Density,-0.00390625,0.0674755373647,0.000106118351377,4.22795132238e-12,0.334905214073,6.92934478449
eugene-springfield-or-metro-area,HINC000_W,-0.00390625,-0.00188460128928,0.000106118351377,0.844414218452,0.334905214073,0.196250352742
eugene-springfield-or-metro-area,HINC200_W,-0.00390625,-0.0026860692277,0.000106118351377,0.905712436083,0.334905214073,0.118448326707
eugene-springfield-or-metro-area,TOTHH,-0.00390625,0.0189374181232,0.000106118351377,0.0265865151375,0.334905214073,2.21753557052
bowling-green-ky-metro-area,AVGHINC,-0.011904761904761904,,0.0023726722199,,0.0934852140705,
bowling-green-ky-metro-area,CENSUSAREA,-0.011904761904761904,0.535909810544,0.0023726722199,0.0,0.0934852140705,11.2464306111
bowling-green-ky-metro-area,DKL(y|n),-0.011904761904761904,-0.0123813798892,0.0023726722199,0.992192990919,0.0934852140705,-0.00978479098479
bowling-green-ky-metro-area,Density,-0.011904761904761904,0.209105948513,0.0023726722199,5.69876235423e-06,0.0934852140705,4.5372681634
bowling-green-ky-metro-area,HINC000_W,-0.011904761904761904,0.101425381251,0.0023726722199,0.0199851830195,0.0934852140705,2.32662593374
bowling-green-ky-metro-area,HINC200_W,-0.011904761904761904,0.069808605627,0.0023726722199,0.0934359144115,0.0934852140705,1.67754522089
bowling-green-ky-metro-area,TOTHH,-0.011904761904761904,0.031573923542,0.0023726722199,0.372070703769,0.0934852140705,0.892601335436
altoona-pa-metro-area,AVGHINC,-0.008928571428571428,0.0193118213556,0.00120357557553,0.415634594696,0.0773508655786,0.814018077874
altoona-pa-metro-area,CENSUSAREA,-0.008928571428571428,0.123157352144,0.00120357557553,0.000140478559129,0.0773508655786,3.80732415594
altoona-pa-metro-area,DKL(y|n),-0.008928571428571428,0.111098238114,0.00120357557553,0.000540727321261,0.0773508655786,3.45972499547
altoona-pa-metro-area,Density,-0.008928571428571428,0.251813610833,0.00120357557553,5.66213742559e-14,0.0773508655786,7.51578958719
altoona-pa-metro-area,HINC000_W,-0.008928571428571428,0.0332100331386,0.00120357557553,0.224507814291,0.0773508655786,1.21462849884
altoona-pa-metro-area,HINC200_W,-0.008928571428571428,0.0534267247812,0.00120357557553,0.0722774417222,0.0773508655786,1.79736658601
altoona-pa-metro-area,TOTHH,-0.008928571428571428,0.0661483958376,0.00120357557553,0.0304594617948,0.0773508655786,2.16406368898
baton-rouge-la-metro-area,AVGHINC,-0.002074688796680498,,0.000119092028279,,0.159550809558,
baton-rouge-la-metro-area,CENSUSAREA,-0.002074688796680498,0.397157981342,0.000119092028279,0.0,0.159550809558,36.5834557511
baton-rouge-la-metro-area,DKL(y|n),-0.002074688796680498,,0.000119092028279,,0.159550809558,
baton-rouge-la-metro-area,Density,-0.002074688796680498,0.27738708046,0.000119092028279,0.0,0.159550809558,25.6083182426
baton-rouge-la-metro-area,HINC000_W,-0.002074688796680498,,0.000119092028279,,0.159550809558,
baton-rouge-la-metro-area,HINC200_W,-0.002074688796680498,,0.000119092028279,,0.159550809558,
baton-rouge-la-metro-area,TOTHH,-0.002074688796680498,0.156883751575,0.000119092028279,0.0,0.159550809558,14.5660651158
hutchinson-mn-micro-area,AVGHINC,-0.037037037037037035,-0.137358257811,0.0261308341273,0.534858701244,0.0661685618677,-0.620606288244
hutchinson-mn-micro-area,CENSUSAREA,-0.037037037037037035,-0.19804539385,0.0261308341273,0.319236280187,0.0661685618677,-0.996028536408
hutchinson-mn-micro-area,DKL(y|n),-0.037037037037037035,0.212256133878,0.0261308341273,0.123030998782,0.0661685618677,1.5421753074
hutchinson-mn-micro-area,Density,-0.037037037037037035,0.260111830698,0.0261308341273,0.0660300211469,0.0661685618677,1.83821981469
hutchinson-mn-micro-area,HINC000_W,-0.037037037037037035,-0.243903608452,0.0261308341273,0.200644952347,0.0661685618677,-1.27971623608
hutchinson-mn-micro-area,HINC200_W,-0.037037037037037035,-0.205100978814,0.0261308341273,0.298490576949,0.0661685618677,-1.03967573649
hutchinson-mn-micro-area,TOTHH,-0.037037037037037035,-0.0171105069437,0.0261308341273,0.901893825037,0.0661685618677,0.123269332085
state-college-pa-metro-area,AVGHINC,-0.01020408163265306,,0.00171689333516,,0.117112691178,
state-college-pa-metro-area,CENSUSAREA,-0.01020408163265306,0.241274660147,0.00171689333516,1.28569421776e-09,0.117112691178,6.06917445775
state-college-pa-metro-area,DKL(y|n),-0.01020408163265306,,0.00171689333516,,0.117112691178,
state-college-pa-metro-area,Density,-0.01020408163265306,0.0489579730696,0.00171689333516,0.153345444414,0.117112691178,1.42781385307
state-college-pa-metro-area,HINC000_W,-0.01020408163265306,,0.00171689333516,,0.117112691178,
state-college-pa-metro-area,HINC200_W,-0.01020408163265306,,0.00171689333516,,0.117112691178,
state-college-pa-metro-area,TOTHH,-0.01020408163265306,0.0119869663462,0.00171689333516,0.592264365911,0.117112691178,0.535557560972
jesup-ga-micro-area,AVGHINC,-0.045454545454545456,-0.147719928835,0.0123831821122,0.358098882167,0.110609271502,-0.918993671858
jesup-ga-micro-area,CENSUSAREA,-0.045454545454545456,0.277290560359,0.0123831821122,0.00372800796434,0.110609271502,2.90030409177
jesup-ga-micro-area,DKL(y|n),-0.045454545454545456,-0.0129219575665,0.0123831821122,0.770019350459,0.110609271502,0.292349585069
jesup-ga-micro-area,Density,-0.045454545454545456,0.0999793885759,0.0123831821122,0.191239251114,0.110609271502,1.30692185986
jesup-ga-micro-area,HINC000_W,-0.045454545454545456,-0.0918763051565,0.0123831821122,0.676559406283,0.110609271502,-0.417162699559
jesup-ga-micro-area,HINC200_W,-0.045454545454545456,-0.0624858080442,0.0123831821122,0.878359573243,0.110609271502,-0.15304907708
jesup-ga-micro-area,TOTHH,-0.045454545454545456,-0.092483761661,0.0123831821122,0.672571420718,0.110609271502,-0.422621523114
indianapolis-carmel-in-metro-area,AVGHINC,-0.0009363295880149813,0.24880920543,5.00150636853e-05,0.0,0.11152513435,35.3140330822
indianapolis-carmel-in-metro-area,CENSUSAREA,-0.0009363295880149813,0.460309323703,5.00150636853e-05,0.0,0.11152513435,65.2201620269
indianapolis-carmel-in-metro-area,DKL(y|n),-0.0009363295880149813,0.149268289398,5.00150636853e-05,0.0,0.11152513435,21.2389418037
indianapolis-carmel-in-metro-area,Density,-0.0009363295880149813,0.260066952028,5.00150636853e-05,0.0,0.11152513435,36.9058791017
indianapolis-carmel-in-metro-area,HINC000_W,-0.0009363295880149813,0.147956835959,5.00150636853e-05,0.0,0.11152513435,21.0535022116
indianapolis-carmel-in-metro-area,HINC200_W,-0.0009363295880149813,0.190045245332,5.00150636853e-05,0.0,0.11152513435,27.0048057289
indianapolis-carmel-in-metro-area,TOTHH,-0.0009363295880149813,0.156604228919,5.00150636853e-05,0.0,0.11152513435,22.2762440758
jasper-in-micro-area,AVGHINC,-0.023809523809523808,0.100801737683,0.0078414131795,0.159363964251,0.106652437367,1.40721392318
jasper-in-micro-area,CENSUSAREA,-0.023809523809523808,0.181801209882,0.0078414131795,0.0202368517248,0.106652437367,2.321927278
jasper-in-micro-area,DKL(y|n),-0.023809523809523808,0.056133479305,0.0078414131795,0.366641166658,0.106652437367,0.90278282794
jasper-in-micro-area,Density,-0.023809523809523808,0.0349563206579,0.0078414131795,0.506925388928,0.106652437367,0.663632753183
jasper-in-micro-area,HINC000_W,-0.023809523809523808,0.180449772485,0.0078414131795,0.0210734624851,0.106652437367,2.3066657238
jasper-in-micro-area,HINC200_W,-0.023809523809523808,0.00588448180636,0.0078414131795,0.737376626836,0.106652437367,0.335329388669
jasper-in-micro-area,TOTHH,-0.023809523809523808,0.0593168246936,0.0078414131795,0.347868457262,0.106652437367,0.938731809594
la-crosse-wi-mn-metro-area-part,AVGHINC,-0.01020408163265306,0.0197999006355,0.00129266738403,0.403989369218,0.124896504349,0.834517608103
la-crosse-wi-mn-metro-area-part,CENSUSAREA,-0.01020408163265306,0.439800693591,0.00129266738403,0.0,0.124896504349,12.5162355216
la-crosse-wi-mn-metro-area-part,DKL(y|n),-0.01020408163265306,0.209144271827,0.00129266738403,1.05499986525e-09,0.124896504349,6.10085893381
la-crosse-wi-mn-metro-area-part,Density,-0.01020408163265306,0.20279414615,0.00129266738403,3.13746273406e-09,0.124896504349,5.92423932233
la-crosse-wi-mn-metro-area-part,HINC000_W,-0.01020408163265306,0.0337618039641,0.00129266738403,0.221387162628,0.124896504349,1.22284786594
la-crosse-wi-mn-metro-area-part,HINC200_W,-0.01020408163265306,-0.0206040191338,0.00129266738403,0.772382953975,0.124896504349,-0.289259301992
la-crosse-wi-mn-metro-area-part,TOTHH,-0.01020408163265306,0.0210907371938,0.00129266738403,0.384070718589,0.124896504349,0.870420370193
lock-haven-pa-micro-area,AVGHINC,-0.027777777777777776,0.0842955693939,0.00458984959954,0.0980752019412,0.154142516087,1.65425751153
lock-haven-pa-micro-area,CENSUSAREA,-0.027777777777777776,-0.0638150705776,0.00458984959954,0.594775796292,0.154142516087,-0.531928097213
lock-haven-pa-micro-area,DKL(y|n),-0.027777777777777776,-0.0271059692751,0.00458984959954,0.992088128724,0.154142516087,0.00991622263366
lock-haven-pa-micro-area,Density,-0.027777777777777776,-0.0333321235349,0.00458984959954,0.934658749254,0.154142516087,-0.0819848645748
lock-haven-pa-micro-area,HINC000_W,-0.027777777777777776,0.155056203291,0.00458984959954,0.00696068943263,0.154142516087,2.69871913509
lock-haven-pa-micro-area,HINC200_W,-0.027777777777777776,-0.0194593601055,0.00458984959954,0.902278207706,0.154142516087,0.122783920225
lock-haven-pa-micro-area,TOTHH,-0.027777777777777776,-0.147846643079,0.00458984959954,0.0763488732237,0.154142516087,-1.77227527631
kahului-wailuku-hi-micro-area,AVGHINC,-0.01,,0.00189197076527,,0.155966239795,
kahului-wailuku-hi-micro-area,CENSUSAREA,-0.01,0.0366565517452,0.00189197076527,0.283431074975,0.155966239795,1.07264355456
kahului-wailuku-hi-micro-area,DKL(y|n),-0.01,,0.00189197076527,,0.155966239795,
kahului-wailuku-hi-micro-area,Density,-0.01,0.138647242701,0.00189197076527,0.000632153124988,0.155966239795,3.41743015336
kahului-wailuku-hi-micro-area,HINC000_W,-0.01,,0.00189197076527,,0.155966239795,
kahului-wailuku-hi-micro-area,HINC200_W,-0.01,,0.00189197076527,,0.155966239795,
kahului-wailuku-hi-micro-area,TOTHH,-0.01,0.0738391589291,0.00189197076527,0.0539199366877,0.155966239795,1.92747920884
